ID,Date,Company,Title,Location,Link
828,2023-09-22,Canonical,Software Engineer - App Stores Backend (Remote),"Chicago, IL",https://www.linkedin.com/jobs/view/software-engineer-app-stores-backend-remote-at-canonical-3726119634?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=PYgP5UqBpnJLNohKkwe87A%3D%3D&position=3&pageNum=33&trk=public_jobs_jserp-result_search-card
829,2023-08-29,MindPal,Android Developer (Java & Kotlin),"Chicago, IL",https://www.linkedin.com/jobs/view/android-developer-java-kotlin-at-mindpal-3707040198?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=hr%2FSWmMPWpZWlAli%2FqFRXw%3D%3D&position=4&pageNum=33&trk=public_jobs_jserp-result_search-card
830,2023-06-25,Zortech Solutions,DevOps Engineer V,"Chicago, IL",https://www.linkedin.com/jobs/view/devops-engineer-v-at-zortech-solutions-3667475740?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=0%2BNSfp8%2FS8RfYvBR98fN7A%3D%3D&position=5&pageNum=33&trk=public_jobs_jserp-result_search-card
831,2023-08-03,Jobs via eFinancialCareers,Principal Application Engineer (Python),"Riverwoods, IL",https://www.linkedin.com/jobs/view/principal-application-engineer-python-at-jobs-via-efinancialcareers-3685606648?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=V0DRpgnB%2FSykSA4QO%2FLL8Q%3D%3D&position=6&pageNum=33&trk=public_jobs_jserp-result_search-card
832,2023-09-02,Loyola University Chicago,SR STAFF SCIENTIST,"Chicago, IL",https://www.linkedin.com/jobs/view/sr-staff-scientist-at-loyola-university-chicago-3729184345?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=tZhV5grlSsH4GBpjbrIzMg%3D%3D&position=7&pageNum=33&trk=public_jobs_jserp-result_search-card
833,2023-07-13,Lorven Technologies Inc.,UI Developer,"Chicago, IL",https://www.linkedin.com/jobs/view/ui-developer-at-lorven-technologies-inc-3686127647?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=da%2BxBI2gd%2FYp6jV25Nqy%2Fw%3D%3D&position=8&pageNum=33&trk=public_jobs_jserp-result_search-card
834,2023-09-22,Akuna Capital,"Software Engineer - C++, Trading Strategies","Chicago, IL",https://www.linkedin.com/jobs/view/software-engineer-c%2B%2B-trading-strategies-at-akuna-capital-3226251415?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=Q%2BnU07SufZmsXcf2a7HlCw%3D%3D&position=9&pageNum=33&trk=public_jobs_jserp-result_search-card
835,2023-10-05,Corrugated Supplies Company,Software Engineer,"Bedford Park, IL",https://www.linkedin.com/jobs/view/software-engineer-at-corrugated-supplies-company-3731917421?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=Mb59OSvSoAWUS17655s2Jg%3D%3D&position=10&pageNum=33&trk=public_jobs_jserp-result_search-card
836,2023-10-04,Hyatt Hotels Corporation,Data Engineer-Java API,"Chicago, IL",https://www.linkedin.com/jobs/view/data-engineer-java-api-at-hyatt-hotels-corporation-3661237341?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=A0Dq960RqVzmUHN9CpAX1g%3D%3D&position=11&pageNum=33&trk=public_jobs_jserp-result_search-card
837,2023-10-06,Albert Bow,C++ Low Latency Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/c%2B%2B-low-latency-engineer-at-albert-bow-3725355344?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=XNlVG2Xs3dHKrZUsH8aYmA%3D%3D&position=12&pageNum=33&trk=public_jobs_jserp-result_search-card
838,2023-10-07,AVI-SPL,Programmer,"Schaumburg, IL",https://www.linkedin.com/jobs/view/programmer-at-avi-spl-3703441900?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=S8cxiLMViSjEsCDXSWvWdA%3D%3D&position=13&pageNum=33&trk=public_jobs_jserp-result_search-card
839,2023-10-08,Northwestern University,Basic Scientist – Inflammation Research,"Chicago, IL",https://www.linkedin.com/jobs/view/basic-scientist-%E2%80%93-inflammation-research-at-northwestern-university-3642365388?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=DSVtB4ZpFdleO4azEVhNxQ%3D%3D&position=14&pageNum=33&trk=public_jobs_jserp-result_search-card
840,2023-07-26,Lorven Technologies Inc.,Java Full stack developer,"Chicago, IL",https://www.linkedin.com/jobs/view/java-full-stack-developer-at-lorven-technologies-inc-3675561583?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=G0RE9qKVrXQRv94MZPxBnw%3D%3D&position=15&pageNum=33&trk=public_jobs_jserp-result_search-card
841,2023-08-31,Aditi Consulting,Software Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/software-engineer-at-aditi-consulting-3726834219?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=EL9X80TE2fX7tV%2BavG57Mg%3D%3D&position=16&pageNum=33&trk=public_jobs_jserp-result_search-card
842,2023-08-31,Remoted,C++ Developer,"Chicago, IL",https://www.linkedin.com/jobs/view/c%2B%2B-developer-at-remoted-3709256593?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=mKsicpCJUVE5dLj3yPO5jQ%3D%3D&position=17&pageNum=33&trk=public_jobs_jserp-result_search-card
843,2023-07-19,SynergisticIT,Java programmer,"Chicago, IL",https://www.linkedin.com/jobs/view/java-programmer-at-synergisticit-3666488237?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=apOBKSxGP7d8FNzsr%2BnUxA%3D%3D&position=18&pageNum=33&trk=public_jobs_jserp-result_search-card
844,2023-09-11,CACI International Inc,Software Engineer,"Lisle, IL",https://www.linkedin.com/jobs/view/software-engineer-at-caci-international-inc-3733344612?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=hhg1cj4tVJJP1deh4Vg2dQ%3D%3D&position=19&pageNum=33&trk=public_jobs_jserp-result_search-card
845,2023-10-10,RemoteWorker US,Software Developer (Contract) - Remote,"Maine, IL",https://www.linkedin.com/jobs/view/software-developer-contract-remote-at-remoteworker-us-3736484866?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=y1EpOfh9xKFcev0s5BKMtw%3D%3D&position=20&pageNum=33&trk=public_jobs_jserp-result_search-card
846,2023-09-11,Balyasny Asset Management L.P.,DevOps Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/devops-engineer-at-balyasny-asset-management-l-p-3710526786?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=xARHq2tDkZZLdF9pxbl58A%3D%3D&position=21&pageNum=33&trk=public_jobs_jserp-result_search-card
847,2023-10-02,Jobot,Lead Software Engineer (Remote),"Chicago, IL",https://www.linkedin.com/jobs/view/lead-software-engineer-remote-at-jobot-3731207466?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=dCNuGtTXN5cy9M4sSsc4iQ%3D%3D&position=22&pageNum=33&trk=public_jobs_jserp-result_search-card
848,2023-09-28,Cardinal Health,"Engineer, Threat Operations – Threat Intelligence","Chicago, IL",https://www.linkedin.com/jobs/view/engineer-threat-operations-%E2%80%93-threat-intelligence-at-cardinal-health-3711760229?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=FG60qcYrA7udO2BGXaGIGw%3D%3D&position=23&pageNum=33&trk=public_jobs_jserp-result_search-card
849,2023-07-24,Costco Wholesale,Site Reliability Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/site-reliability-engineer-at-costco-wholesale-3637108554?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=A0en7dyELgUVDSPY%2F8Pb6w%3D%3D&position=24&pageNum=33&trk=public_jobs_jserp-result_search-card
